SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Ba,Nb,Sr,Zr,Ba/Zr,Nb/Zr,Label
50.09,1.22,19.32,10.36,0.16,5.7,8.72,3.41,0.68,0.33,8.55,235,3.19,699,95.5,2.460732984,0.033403141,Barren
50.35,1.06,17.82,8.62,0.16,7.62,9.6,3.21,0.67,0.3,9.6,273,3.85,709,99.6,2.740963855,0.038654618,Barren
50.39,0.75,15.7,8.5,0.16,10.4,10,2.54,0.42,0.12,8.6,139,1.42,379,58.3,2.384219554,0.024356775,Barren
50.72,1.1,17.66,8.44,0.14,7.1,9.61,3.26,0.66,0.27,9.1,255,4.3,715,100,2.55,0.043,Barren
50.95,1.13,17.92,8.35,0.14,6.72,9.05,3.54,0.73,0.32,10.1,259,3.3,810,89,2.91011236,0.037078652,Barren
51.79,1.03,18.05,8.31,0.15,6.21,9.13,3.38,0.93,0.39,11,382,5.5,851,136,2.808823529,0.040441176,Barren
50.91,1.16,19.5,8.49,0.15,4.98,9.15,3.48,0.94,0.3,9.1,300,4.1,911,104,2.884615385,0.039423077,Barren
50.87,1.23,18.08,8.46,0.15,6.41,8.4,3.3,1.21,0.43,23,430,10,706,168,2.55952381,0.05952381,Barren
51.55,1.01,17.96,8.42,0.15,6.49,8.83,3.32,0.84,0.31,16.1,327,5.59,598,128,2.5546875,0.043671875,Barren
50.82,1.12,18.21,8.89,0.16,5.76,9.54,3.36,0.78,0.39,12.7,290,5.98,628,136,2.132352941,0.043970588,Barren
50.82,1.12,18.21,9.88,0.16,5.76,9.54,3.36,0.78,0.39,12.7,290,5.98,628,136,2.132352941,0.043970588,Barren
50.98,1.18,17.76,8.47,0.16,5.74,8.95,3.46,1.07,0.41,22.3,382,7.57,621,166,2.301204819,0.04560241,Barren
51.84,1.25,18.48,8.73,0.17,4.73,8.95,3.63,0.86,0.45,13.5,322,7.4,633,161,2,0.045962733,Barren
55.06,1.18,16.56,10.22,0.16,3.92,8.1,3.79,0.81,0.21,19.5,236,2.11,438,101,2.336633663,0.020891089,Barren
55.06,1.18,16.56,9.19,0.16,3.92,8.1,3.79,0.81,0.21,19.5,236,2.11,438,101,2.336633663,0.020891089,Barren
53.06,1.16,16.27,9.17,0.16,5.41,9.47,3.36,0.69,0.22,15.9,204,2.11,435,95,2.147368421,0.022210526,Barren
53.01,1,18.85,9.07,0.15,4.02,9.75,3.32,0.63,0.19,15.1,186,1.72,466,81.7,2.276621787,0.021052632,Barren
53.01,1,18.85,8.17,0.15,4.02,9.75,3.32,0.63,0.19,15.1,186,1.72,466,82,2.268292683,0.02097561,Barren
53.21,1.03,18.39,8.37,0.15,4.16,9.63,3.28,0.64,0.19,15.3,190,1.75,457,82,2.317073171,0.021341463,Barren
52.67,0.98,18.15,8.55,0.15,4.8,9.59,3.34,0.62,0.19,14.5,180,1.62,450,78,2.307692308,0.020769231,Barren
52.97,1.15,17.8,8.73,0.15,4.48,9.32,3.49,0.73,0.22,17.2,222,2.1,455,96,2.3125,0.021875,Barren
53.08,1.03,18.38,8.36,0.15,4.26,9.55,3.42,0.65,0.19,15.3,194,1.73,466,82,2.365853659,0.021097561,Barren
53.04,1.02,18.74,8.25,0.14,4.03,9.65,3.39,0.64,0.18,14.9,189,1.66,478,79,2.392405063,0.021012658,Barren
53.06,1.02,18.63,8.31,0.14,4.06,9.62,3.42,0.64,0.19,15.2,194,1.69,478,80,2.425,0.021125,Barren
53.39,1.08,17.2,9.03,0.18,4.58,9.23,3.46,0.66,0.19,15,196,1.78,450,82,2.390243902,0.021707317,Barren
52.44,0.95,18.08,8.36,0.17,5.05,10.22,3.08,0.55,0.17,12.5,175,1.54,469,69,2.536231884,0.022318841,Barren
52.86,0.96,18.12,8.33,0.15,4.73,9.99,3.17,0.6,0.18,13.8,187,1.69,470,77,2.428571429,0.021948052,Barren
52.58,0.94,18.57,8.15,0.14,4.7,10.19,3.06,0.58,0.17,13.6,180,1.66,479,76,2.368421053,0.021842105,Barren
53.39,1.08,17.2,10.04,0.18,4.58,9.23,3.46,0.66,0.19,15,196,1.78,450,82.4,2.378640777,0.021601942,Barren
51.38,0.89,18.64,8.73,0.13,6.27,10.21,3.06,0.62,0.16,10,186,1.33,618,59.3,3.136593592,0.022428331,Barren
53.12,1.21,16.64,9.22,0.16,4.94,9.36,3.38,0.72,0.23,17.1,219,2.21,459,98,2.234693878,0.02255102,Barren
53.12,1.19,16.63,9.26,0.16,4.94,9.25,3.48,0.72,0.23,16.5,220,2.12,455,92,2.391304348,0.023043478,Barren
51.44,1.18,15.88,9.75,0.16,7.36,9.37,2.92,0.64,0.23,15.4,190,2,397,93,2.043010753,0.021505376,Barren
51.6,1.19,16.25,9.62,0.16,6.78,9.48,2.99,0.64,0.23,14.3,194,2.01,419,92,2.108695652,0.021847826,Barren
53.04,1.01,18.59,8.29,0.14,4.09,9.71,3.39,0.64,0.18,15.2,192,1.71,465,80,2.4,0.021375,Barren
51.44,1.18,15.9,10.83,0.16,7.36,9.37,2.92,0.64,0.23,15.4,190,2,397,93.2,2.038626609,0.021459227,Barren
52.6,1.15,16.79,8.77,0.16,6.05,9.62,3.12,0.65,0.22,15.7,206,2.2,433,102,2.019607843,0.021568627,Barren
51.76,1.09,17.67,8.2,0.15,5.98,9.1,3.33,1.11,0.34,29,384,7.54,576,147,2.612244898,0.051292517,Barren
52.19,1.14,16.82,8.76,0.16,6.12,9.61,3.18,0.63,0.24,15.5,198,2.7,429,100,1.98,0.027,Barren
52.87,1.11,17.37,8.35,0.15,5.08,9.86,2.88,0.64,0.2,15.1,200,2.6,437,95,2.105263158,0.027368421,Barren
51.79,1.14,16.89,9.03,0.16,6.63,9.77,2.91,0.61,0.21,14.6,191,2.4,429,92,2.076086957,0.026086957,Barren
52.16,1.13,17.44,8.58,0.16,5.46,10.06,3.06,0.68,0.24,15.1,210,2.8,457,103,2.038834951,0.027184466,Barren
56.69,1.29,15.79,9.03,0.18,3.56,7.2,3.51,1.03,0.27,24.7,285,3.2,402,124,2.298387097,0.025806452,Barren
55.56,1.02,16.88,7.58,0.17,4.53,8.32,3.98,0.9,0.22,19.4,287,3.6,463,118,2.43220339,0.030508475,Barren
52.49,1.23,16.55,9.22,0.16,6.4,9,3.08,0.71,0.24,17.8,229,2.3,437,106,2.160377358,0.021698113,Barren
